ano,ano_ingresso,avaliador4,cf,cg,ct,defasagem,destaque_ida,destaque_ieg,destaque_ipv,fase,fase_ideal,gênero,iaa,ian,ida,ieg,inde,instituição_de_ensino,ips,ipv,nº_av,pedra,ra,rec_psicologia,turma
2022,2022,Avaliador-31,12.0,"558,000",7.0,-1,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.0,Fase 8 (Universitários),Menino,"7,9","5,000","4,0","8,3","6,793",Escola Pública,"7,5","7,750",4.0,Ágata,RA-14,Não atendido,D
2022,2022,Avaliador-31,3.0,"207,000",2.0,-1,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.0,Fase 8 (Universitários),Menino,"8,8","5,000","7,3","10,0","7,783",Escola Pública,"7,5","7,292",4.0,Ametista,RA-15,Não atendido,D
2022,2022,Avaliador-31,14.0,"706,000",8.0,-1,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.0,Fase 8 (Universitários),Menino,"7,9","5,000","3,5","8,3","6,112",Escola Pública,"5,0","6,333",4.0,Ágata,RA-16,Requer avaliação,D
2022,2022,Avaliador-31,2.0,"125,000",1.0,-1,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.0,Fase 8 (Universitários),Menino,"8,8","5,000","7,8","10,0","8,068",Escola Pública,"7,5","8,292",4.0,Topázio,RA-17,Não atendido,D
2022,2022,Avaliador-31,7.0,"418,000",5.0,-1,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.0,Fase 8 (Universitários),Menino,"6,3","5,000","9,0","8,7","7,226",Escola Pública,"6,3","6,875",4.0,Ametista,RA-18,Requer avaliação,D
2022,2022,Avaliador-31,4.0,"248,000",3.0,-1,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.0,Fase 8 (Universitários),Menina,"7,9","5,000","8,0","9,5","7,665",Escola Pública,"7,5","7,000",4.0,Ametista,RA-19,Sem limitações,D
2022,2022,Avaliador-31,5.0,"296,000",4.0,-1,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.0,Fase 8 (Universitários),Menina,"7,1","5,000","7,8","10,0","7,535",Escola Pública,"6,3","7,167",4.0,Ametista,RA-20,Não atendido,D
2022,2022,Avaliador-31,9.0,"508,000",6.0,-1,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.0,Fase 8 (Universitários),Menino,"9,6","5,000","3,8","9,2","6,945",Escola Pública,"7,5","7,250",4.0,Ágata,RA-21,Não atendido,D
2022,2019,Avaliador-31,10.0,"327,000",10.0,-1,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,6.0,Fase 7 (3º EM),Menina,"8,3","5,000","6,7","7,4","7,474",Rede Decisão,"8,1","8,833",4.0,Ametista,RA-22,Sem limitações,A
2022,2021,Avaliador-31,8.0,"243,000",8.0,-1,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,6.0,Fase 7 (3º EM),Menino,"8,3","5,000","6,7","8,2","7,677",Escola Pública,"8,1","8,556",4.0,Ametista,RA-23,Sem limitações,A
2022,2021,Avaliador-31,5.0,"119,000",5.0,-1,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,6.0,Fase 7 (3º EM),Menina,"9,2","5,000","8,6","7,9","8,087",Rede Decisão,"6,9","9,111",4.0,Topázio,RA-24,Requer avaliação,A
2022,2021,Avaliador-31,6.0,"147,000",6.0,-1,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,6.0,Fase 7 (3º EM),Menina,"8,3","5,000","6,9","8,3","7,979",Escola Pública,"8,8","9,667",4.0,Topázio,RA-25,Sem limitações,A
2022,2022,Avaliador-31,3.0,"17,000",3.0,-1,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,6.0,Fase 7 (3º EM),Menino,"9,6","5,000","8,0","8,8","8,677",Escola Pública,"10,0","10,000",4.0,Topázio,RA-26,Sem limitações,A
2022,2016,Avaliador-31,12.0,"449,000",12.0,-1,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,6.0,Fase 7 (3º EM),Menino,"0,0","5,000","8,0","7,6","7,124",Rede Decisão,"8,1","9,111",4.0,Topázio,RA-27,Sem limitações,A
2022,2019,Avaliador-31,14.0,"698,000",14.0,-1,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,6.0,Fase 7 (3º EM),Menina,"7,9","5,000","5,0","6,1","6,242",Escola Pública,"7,5","6,333",4.0,Ametista,RA-28,Requer avaliação,A
2022,2022,Avaliador-31,16.0,"821,000",16.0,-1,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,6.0,Fase 7 (3º EM),Menino,"0,0","5,000","3,7","4,0","4,985",Escola Pública,"8,8","7,611",4.0,Quartzo,RA-29,Requer avaliação,A
2022,2021,Avaliador-31,9.0,"270,000",9.0,0,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,6.0,Fase 6 (2º EM),Menina,"8,8","10,000","7,5","6,4","7,605",Escola Pública,"7,5","7,333",4.0,Ametista,RA-30,Sem limitações,A
2022,2019,Avaliador-31,2.0,"9,000",2.0,-1,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,6.0,Fase 7 (3º EM),Menina,"10,0","5,000","8,0","9,5","8,843",Rede Decisão,"9,4","10,000",4.0,Topázio,RA-31,Sem limitações,A
2022,2018,Avaliador-31,11.0,"370,000",11.0,0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,6.0,Fase 6 (2º EM),Menina,"8,8","10,000","6,1","5,2","7,370",Rede Decisão,"8,8","7,944",4.0,Ametista,RA-32,Sem limitações,A
2022,2020,Avaliador-31,17.0,"824,000",17.0,-1,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,6.0,Fase 7 (3º EM),Menina,"0,0","5,000","4,8","4,6","4,952",Escola Pública,"7,5","6,000",4.0,Ágata,RA-33,Sem limitações,A
2022,2016,Avaliador-31,13.0,"692,000",13.0,-1,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,6.0,Fase 7 (3º EM),Menino,"9,6","5,000","3,8","4,8","6,259",Rede Decisão,"8,1","7,278",4.0,Ametista,RA-34,Sem limitações,A
2022,2019,Avaliador-31,1.0,"5,000",1.0,-1,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,6.0,Fase 7 (3º EM),Menina,"10,0","5,000","8,5","9,6","8,965",Rede Decisão,"9,4","10,000",4.0,Ametista,RA-35,Sem limitações,A
2022,2019,Avaliador-31,7.0,"177,000",7.0,-1,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,6.0,Fase 7 (3º EM),Menina,"9,2","5,000","6,8","9,0","7,876",Rede Decisão,"6,9","8,944",4.0,Topázio,RA-36,Sem limitações,A
2022,2019,Avaliador-31,18.0,"825,000",18.0,-1,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,6.0,Fase 7 (3º EM),Menina,"0,0","5,000","5,9","5,4","4,950",Rede Decisão,"5,0","5,222",4.0,Ametista,RA-37,Sem limitações,A
2022,2017,Avaliador-31,4.0,"31,000",4.0,-1,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,6.0,Fase 7 (3º EM),Menina,"9,2","5,000","8,6","8,9","8,523",Rede Decisão,"7,5","9,833",4.0,Ametista,RA-38,Não indicado,A
2022,2017,Avaliador-31,15.0,"722,000",15.0,0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,6.0,Fase 6 (2º EM),Menina,"0,0","10,000","6,9","4,8","6,033",Rede Decisão,"6,9","6,111",4.0,Ametista,RA-39,Requer avaliação,A
2022,2016,Avaliador-31,27.0,"429,000",3.0,-1,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,5.0,Fase 6 (2º EM),Menina,"7,9","5,000","6,8","7,8","7,203",Rede Decisão,"7,5","7,750",3.0,Ametista,RA-40,Sem limitações,A
2022,2018,Avaliador-31,51.0,"777,000",9.0,-2,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5.0,Fase 7 (3º EM),Menino,"9,2","5,000","5,6","6,1","5,581",Escola Pública,"5,0","4,375",3.0,Ágata,RA-41,Requer avaliação,A
2022,2019,Avaliador-31,33.0,"582,000",5.0,0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5.0,Fase 5 (1º EM),Menino,"8,3","10,000","4,8","7,9","6,720",Rede Decisão,"5,6","6,083",3.0,Topázio,RA-42,Requer avaliação,A
2022,2019,Avaliador-31,54.0,"791,000",11.0,-1,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5.0,Fase 6 (2º EM),Menina,"6,3","5,000","4,3","6,5","5,486",Escola Pública,"5,6","5,958",3.0,Ametista,RA-43,Requer avaliação,A
2022,2021,Avaliador-31,52.0,"785,000",10.0,-2,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5.0,Fase 7 (3º EM),Menina,"5,0","5,000","3,0","5,9","5,542",Escola Pública,"7,5","7,292",3.0,Ametista,RA-44,Sem limitações,A
2022,2019,Avaliador-31,17.0,"277,000",2.0,0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5.0,Fase 5 (1º EM),Menina,"7,9","10,000","6,8","8,9","7,591",Rede Decisão,"5,6","7,417",3.0,Ametista,RA-45,Requer avaliação,A
2022,2022,Avaliador-31,46.0,"719,000",7.0,-2,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5.0,Fase 7 (3º EM),Menina,"8,8","5,000","2,1","8,4","6,048",Escola Pública,"6,3","7,083",3.0,Ágata,RA-46,Sem limitações,A
2022,2022,Avaliador-31,49.0,"762,000",8.0,-2,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5.0,Fase 7 (3º EM),Menina,"7,9","5,000","2,1","6,3","5,677",Escola Pública,"7,5","7,042",3.0,Quartzo,RA-47,Sem limitações,A
2022,2017,Avaliador-31,10.0,"140,000",1.0,0,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,5.0,Fase 5 (1º EM),Menina,"6,7","10,000","8,1","8,4","8,006",Rede Decisão,"7,5","8,500",3.0,Ametista,RA-48,Sem limitações,A
2022,2022,Avaliador-31,42.0,"687,000",6.0,-2,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5.0,Fase 7 (3º EM),Menina,"7,5","5,000","3,9","7,4","6,304",Escola Pública,"7,5","7,042",3.0,Ágata,RA-49,Sem limitações,A
2022,2022,Avaliador-31,28.0,"445,000",4.0,-3,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,5.0,Fase 8 (Universitários),Menina,"7,5","2,500","7,8","8,4","7,138",Escola Pública,"7,5","7,542",3.0,Ametista,RA-50,Sem limitações,A
2022,2022,Avaliador-31,39.0,"645,000",13.0,-2,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5.0,Fase 7 (3º EM),Menina,"8,8","5,000","5,0","7,6","6,488",Escola Pública,"7,5","6,500",3.0,Ágata,RA-51,Não atendido,B
2022,2018,Avaliador-31,12.0,"183,000",5.0,2,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,5.0,Fase 3 (7º e 8º ano),Menino,"9,6","10,000","6,2","8,9","7,861",Rede Decisão,"7,5","7,500",3.0,Topázio,RA-52,Não atendido,B
2022,2022,Avaliador-31,32.0,"579,000",11.0,-2,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5.0,Fase 7 (3º EM),Menino,"9,2","5,000","7,0","7,0","6,725",Escola Pública,"7,5","6,458",3.0,Ágata,RA-53,Não atendido,B
2022,2022,Avaliador-31,45.0,"716,000",14.0,-1,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5.0,Fase 6 (2º EM),Menina,"7,9","5,000","4,8","6,9","6,058",Escola Pública,"7,5","6,125",3.0,Ágata,RA-54,Não atendido,B
2022,2017,Avaliador-31,38.0,"634,000",12.0,-1,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5.0,Fase 6 (2º EM),Menina,"7,1","5,000","7,5","7,6","6,576",Escola Pública,"5,6","6,500",3.0,Ametista,RA-55,Requer avaliação,B
2022,2019,Avaliador-31,7.0,"46,000",1.0,0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,5.0,Fase 5 (1º EM),Menina,"10,0","10,000","7,0","10,0","8,404",Rede Decisão,"7,5","8,250",3.0,Topázio,RA-56,Sem limitações,B
2022,2017,Avaliador-31,25.0,"388,000",10.0,-1,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,5.0,Fase 6 (2º EM),Menino,"7,1","5,000","8,4","8,1","7,305",Rede Decisão,"5,6","7,875",3.0,Ametista,RA-57,Requer avaliação,B
2022,2017,Avaliador-31,9.0,"103,000",3.0,0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,5.0,Fase 5 (1º EM),Menino,"9,6","10,000","7,2","9,2","8,136",Rede Decisão,"6,3","8,125",3.0,Topázio,RA-58,Sem limitações,B
2022,2022,Avaliador-31,15.0,"257,000",7.0,-2,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,5.0,Fase 7 (3º EM),Menino,"9,2","5,000","7,2","9,3","7,642",Escola Pública,"7,5","7,917",3.0,Ametista,RA-59,Não atendido,B
2022,2021,Avaliador-31,53.0,"787,000",16.0,-3,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5.0,Fase 8 (Universitários),Menina,"6,7","2,500","4,9","6,0","5,537",Escola Pública,"7,5","6,167",3.0,Quartzo,RA-60,Não atendido,B
2022,2021,Avaliador-31,20.0,"298,000",8.0,0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,5.0,Fase 5 (1º EM),Menino,"9,2","10,000","5,8","7,4","7,533",Escola Pública,"7,5","7,875",3.0,Ágata,RA-61,Não atendido,B
2022,2022,Avaliador-31,11.0,"173,000",4.0,-2,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5.0,Fase 7 (3º EM),Menino,"8,8","5,000","9,3","9,4","7,891",Escola Pública,"7,5","7,250",3.0,Ametista,RA-62,Não atendido,B
2022,2018,Avaliador-31,8.0,"64,000",2.0,-1,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,5.0,Fase 6 (2º EM),Menino,"8,3","5,000","8,7","9,1","8,282",Rede Decisão,"8,8","9,417",3.0,Ametista,RA-63,Sem limitações,B
2022,2019,Avaliador-31,23.0,"372,000",9.0,-1,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,5.0,Fase 6 (2º EM),Menino,"7,1","5,000","7,5","8,1","7,368",Escola Pública,"8,1","8,250",3.0,Ametista,RA-64,Sem limitações,B
2022,2022,Avaliador-31,13.0,"232,000",6.0,-2,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,5.0,Fase 7 (3º EM),Menina,"8,3","5,000","9,3","7,7","7,712",Escola Pública,"7,5","7,875",3.0,Ametista,RA-65,Não atendido,B
2022,2022,Avaliador-31,50.0,"768,000",15.0,-2,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5.0,Fase 7 (3º EM),Menina,"7,5","5,000","4,5","5,6","5,665",Escola Pública,"7,5","5,917",3.0,Quartzo,RA-66,Não atendido,B
2022,2019,Avaliador-31,56.0,"812,000",6.0,-1,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5.0,Fase 6 (2º EM),Menina,"5,8","5,000","3,6","3,0","5,195",Escola Pública,"7,5","6,889",4.0,Ágata,RA-67,Não atendido,C
2022,2019,Avaliador-31,40.0,"653,000",2.0,-1,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,5.0,Fase 6 (2º EM),Menino,"8,3","5,000","4,0","6,0","6,438",Escola Pública,"7,5","7,944",4.0,Ametista,RA-68,Não atendido,C
2022,2018,Avaliador-31,47.0,"756,000",3.0,-1,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5.0,Fase 6 (2º EM),Menino,"8,3","5,000","2,5","6,1","5,718",Escola Pública,"7,5","6,167",4.0,Ametista,RA-69,Sem limitações,C
2022,2017,Avaliador-31,48.0,"757,000",4.0,-1,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5.0,Fase 6 (2º EM),Menina,"8,8","5,000","2,9","6,6","5,712",Escola Pública,"5,0","6,111",4.0,Ágata,RA-70,Sem limitações,C
2022,2019,Avaliador-31,58.0,"846,000",8.0,-2,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5.0,Fase 7 (3º EM),Menina,"7,9","5,000","1,2","2,0","4,332",Escola Pública,"7,5","5,833",4.0,Ágata,RA-71,Não atendido,C
2022,2022,Avaliador-31,16.0,"259,000",1.0,-2,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,5.0,Fase 7 (3º EM),Menina,"8,3","5,000","7,8","7,5","7,640",Escola Pública,"7,5","8,667",4.0,Ametista,RA-72,Não atendido,C
2022,2022,Avaliador-31,55.0,"804,000",5.0,-2,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5.0,Fase 7 (3º EM),Menina,"7,1","5,000","3,3","3,0","5,271",Escola Pública,"7,5","7,278",4.0,Quartzo,RA-73,Não atendido,C
