ipv,ips,iaa,ieg,no_av,ida,defasagem,media
5.917,7.5,7.5,5.6,3.0,4.5,1,5.002428571428572
6.889,7.5,5.8,3.0,4.0,3.6,1,4.541285714285714
7.944,7.5,8.3,6.0,4.0,4.0,1,5.534857142857143
6.167,7.5,8.3,6.1,4.0,2.5,1,5.081
6.111,5.0,8.8,6.6,4.0,2.9,1,4.915857142857143
5.833,7.5,7.9,2.0,4.0,1.2,1,4.204714285714286
8.667,7.5,8.3,7.5,4.0,7.8,1,6.395285714285714
7.278,7.5,7.1,3.0,4.0,3.3,1,4.739714285714285
5.833,7.5,9.6,3.3,4.0,2.0,1,4.747571428571429
4.625,6.3,5.4,3.8,4.0,0.0,1,3.589285714285715
9.292,8.1,10.0,9.1,4.0,8.7,0,7.027428571428571
4.625,5.0,7.1,2.7,4.0,0.7,1,3.5892857142857144
8.0,5.6,8.3,6.6,4.0,7.2,1,5.814285714285715
7.292,5.6,5.4,6.3,4.0,8.9,1,5.498857142857143
7.625,5.0,9.2,8.3,4.0,7.1,1,6.0321428571428575
7.458,5.0,9.2,9.2,4.0,6.0,0,5.836857142857143
6.417,7.5,8.8,6.8,4.0,5.5,1,5.716714285714285
5.958,7.5,7.9,6.8,4.0,6.8,1,5.708285714285714
6.75,5.0,7.1,8.8,4.0,5.8,1,5.492857142857143
5.833,5.0,6.7,7.3,4.0,4.3,0,4.7332857142857145
8.458,5.6,7.5,9.6,4.0,6.7,1,6.122571428571429
8.5,7.5,8.3,9.6,4.0,8.8,0,6.671428571428572
9.208,5.6,7.1,9.2,4.0,6.5,1,6.086857142857143
8.0,7.5,9.6,7.8,4.0,5.9,1,6.257142857142857
9.75,9.4,10.0,9.7,4.0,8.5,0,7.3357142857142845
7.125,5.6,9.2,5.7,4.0,6.6,1,5.603571428571428
6.667,5.0,9.2,7.1,4.0,7.4,1,5.7667142857142855
9.083,8.1,8.3,9.7,4.0,8.5,0,6.811857142857143
9.583,8.1,8.3,9.6,4.0,7.7,0,6.754714285714286
6.292,7.5,8.3,6.6,4.0,4.8,1,5.498857142857142
8.5,6.9,9.2,7.8,4.0,6.7,1,6.3
6.292,5.0,7.5,8.8,4.0,6.9,0,5.498857142857143
9.667,9.4,8.8,10.0,4.0,8.5,0,7.195285714285715
5.833,7.5,8.8,6.3,4.0,5.0,1,5.4904285714285725
7.25,5.0,8.8,7.8,4.0,7.6,0,5.778571428571429
6.833,7.5,7.9,8.3,4.0,7.6,1,6.161857142857143
6.0,6.9,6.7,7.7,4.0,5.7,0,5.285714285714286
7.708,7.5,7.9,8.7,4.0,7.3,0,6.1582857142857135
6.708,7.5,7.9,8.7,4.0,3.7,1,5.644
7.417,5.6,7.9,8.2,4.0,6.7,1,5.831000000000001
8.375,9.4,9.2,8.0,4.0,7.4,1,6.7678571428571415
6.5,7.5,7.5,6.4,4.0,4.6,1,5.357142857142857
6.125,5.0,4.6,7.7,4.0,5.0,1,4.7749999999999995
8.667,8.8,8.8,10.0,4.0,8.4,1,7.095285714285714
8.0,5.6,9.2,9.7,4.0,6.7,0,6.171428571428572
8.667,8.1,7.5,9.4,4.0,8.0,0,6.5238571428571435
8.833,6.3,7.9,7.8,4.0,8.5,1,6.333285714285714
3.792,5.0,0.0,0.0,4.0,3.7,1,2.498857142857143
5.0,7.5,7.9,6.3,4.0,5.3,1,5.285714285714286
5.583,6.3,8.3,6.8,4.0,3.8,1,5.111857142857143
7.792,6.3,5.8,8.1,4.0,5.9,1,5.555999999999999
7.417,6.9,7.9,6.3,4.0,6.1,1,5.659571428571428
6.958,6.3,0.0,5.3,4.0,3.9,0,3.7797142857142854
7.875,5.6,8.3,8.2,4.0,5.4,0,5.624999999999999
7.667,7.5,8.3,5.9,4.0,6.2,1,5.795285714285714
7.625,6.3,7.1,8.4,4.0,7.2,1,5.946428571428571
4.958,7.5,7.9,3.4,4.0,1.8,0,4.222571428571428
7.292,5.6,7.9,8.6,4.0,6.5,1,5.8417142857142865
7.167,5.0,7.9,7.8,4.0,6.7,0,5.509571428571428
7.75,7.5,8.8,8.5,4.0,7.1,1,6.378571428571428
7.417,7.5,7.1,5.8,4.0,4.4,1,5.316714285714285
8.125,7.5,7.5,8.7,4.0,7.9,0,6.246428571428572
6.167,7.5,0.0,6.2,4.0,5.6,1,4.352428571428571
7.792,7.5,6.7,6.4,4.0,6.7,1,5.727428571428573
6.5,5.0,8.3,4.7,4.0,4.1,1,4.8
7.75,5.6,8.8,9.0,4.0,5.6,1,5.964285714285714
8.458,5.6,10.0,8.8,4.0,7.7,0,6.3654285714285725
7.625,7.5,7.9,7.1,4.0,5.6,1,5.817857142857143
7.375,7.5,8.8,6.8,4.0,4.7,1,5.739285714285715
8.583,5.6,8.3,7.8,4.0,8.6,1,6.269
6.667,7.5,10.0,6.3,4.0,4.6,1,5.723857142857143
7.792,5.0,7.5,8.9,4.0,7.3,1,5.927428571428571
6.375,5.6,9.6,8.0,4.0,5.6,1,5.739285714285715
3.917,5.0,7.1,3.5,4.0,1.4,1,3.702428571428571
7.667,6.9,7.9,7.6,4.0,5.7,0,5.681
5.917,5.6,9.2,8.2,4.0,5.7,0,5.516714285714286
7.583,5.6,6.7,8.6,4.0,6.3,0,5.540428571428571
9.5,5.6,8.3,9.9,4.0,7.9,0,6.457142857142856
8.292,5.0,7.5,9.3,4.0,7.9,0,5.998857142857142
7.25,8.1,0.0,6.3,4.0,5.2,1,4.55
8.208,7.5,8.3,9.2,4.0,7.9,1,6.586857142857142
7.25,7.5,8.3,7.7,4.0,6.1,0,5.835714285714286
7.708,10.0,9.2,7.9,4.0,5.3,0,6.301142857142857
6.125,7.5,9.2,6.5,4.0,5.0,1,5.617857142857143
7.333,6.9,9.6,6.3,4.0,6.9,1,6.004714285714285
7.958,6.9,8.8,7.5,4.0,8.3,1,6.3511428571428565
6.292,7.5,8.3,7.0,4.0,6.5,1,5.798857142857143
7.708,5.0,7.9,8.2,4.0,6.6,0,5.629714285714286
6.833,6.3,8.3,6.1,4.0,4.0,1,5.219
6.833,7.5,10.0,8.3,4.0,5.2,1,6.119
7.792,9.4,10.0,8.3,4.0,4.4,1,6.413142857142858
8.292,6.3,7.5,10.0,4.0,7.7,0,6.256
8.125,5.6,7.9,9.8,4.0,6.6,1,6.146428571428571
6.458,5.6,8.3,8.1,4.0,4.7,1,5.451142857142857
8.25,5.6,7.5,7.2,4.0,5.3,1,5.549999999999999
8.083,5.6,7.9,9.1,4.0,6.9,0,5.940428571428571
6.542,7.5,6.7,8.5,4.0,5.5,0,5.53457142857143
6.5,5.6,8.8,7.9,4.0,6.7,1,5.785714285714286
7.208,5.6,8.3,7.3,4.0,6.5,1,5.701142857142857
7.5,5.6,7.1,9.8,4.0,7.6,0,5.942857142857143
7.542,6.3,9.2,9.0,4.0,8.1,0,6.306
7.833,5.6,9.2,9.7,4.0,7.9,1,6.461857142857142
7.083,6.3,7.9,8.3,4.0,5.9,1,5.7832857142857135
4.792,6.3,7.5,5.1,4.0,3.2,1,4.556
5.792,5.6,8.3,9.2,4.0,4.9,0,5.398857142857142
6.875,7.5,7.5,6.8,4.0,5.5,1,5.596428571428571
8.917,9.4,9.2,8.9,4.0,7.3,0,6.816714285714285
9.25,6.9,8.3,9.2,4.0,7.9,1,6.6499999999999995
6.042,7.5,7.9,6.2,4.0,4.4,1,5.291714285714286
5.833,5.6,8.3,9.2,4.0,5.9,1,5.690428571428571
9.083,5.6,9.6,9.1,4.0,6.9,0,6.326142857142857
6.958,4.4,7.9,8.8,4.0,6.8,0,5.551142857142858
8.458,4.4,0.0,8.8,4.0,6.3,0,4.565428571428572
8.042,7.5,7.5,9.2,4.0,6.1,0,6.048857142857144
8.625,6.3,9.2,8.3,4.0,8.1,0,6.360714285714286
8.458,8.8,9.2,9.5,4.0,6.8,0,6.679714285714285
6.958,7.5,7.5,8.0,4.0,4.1,1,5.579714285714286
7.25,7.5,8.3,8.8,4.0,3.8,0,5.664285714285714
8.0,7.5,8.8,7.7,4.0,7.2,1,6.314285714285715
6.875,7.5,7.9,7.7,4.0,4.5,1,5.639285714285713
7.5,7.5,8.3,8.5,4.0,6.6,0,6.057142857142857
7.917,7.5,8.8,8.9,4.0,5.8,0,6.130999999999999
7.583,7.5,0.0,6.1,4.0,2.7,1,4.126142857142857
7.333,5.0,10.0,9.7,4.0,7.2,1,6.319000000000001
7.25,8.8,6.7,6.9,4.0,6.3,0,5.707142857142856
8.5,8.8,10.0,9.4,4.0,7.2,0,6.842857142857143
4.708,7.5,8.8,3.6,4.0,2.7,1,4.6154285714285725
8.5,5.6,9.2,8.9,4.0,6.7,0,6.128571428571428
3.75,5.0,0.0,6.2,4.0,3.2,1,3.307142857142857
8.25,5.0,8.8,9.2,4.0,6.3,0,5.935714285714285
8.625,7.5,9.2,9.1,4.0,5.1,0,6.2178571428571425
8.292,4.4,8.8,9.7,4.0,7.3,0,6.070285714285714
5.958,5.0,0.0,6.2,4.0,4.6,0,3.679714285714286
6.458,7.5,8.3,7.1,4.0,7.5,0,5.836857142857143
4.917,4.4,7.9,5.6,4.0,5.5,1,4.759571428571428
7.542,7.5,7.9,7.3,4.0,6.5,1,5.9631428571428575
6.917,4.4,0.0,5.2,4.0,5.4,1,3.8452857142857146
6.875,7.5,8.8,4.3,4.0,2.8,1,5.039285714285714
5.708,4.4,7.9,6.7,4.0,7.4,0,5.158285714285715
4.833,7.5,9.6,3.8,4.0,4.1,1,4.9761428571428565
5.167,7.5,8.3,8.8,4.0,5.0,0,5.538142857142857
5.708,7.5,0.0,4.8,4.0,5.8,1,4.115428571428572
6.417,7.5,7.5,7.1,4.0,6.1,1,5.65957142857143
3.75,5.6,0.0,4.8,4.0,6.0,1,3.5928571428571425
4.417,7.5,0.0,5.1,4.0,3.4,1,3.631
8.458,7.5,9.2,8.8,4.0,7.6,0,6.508285714285714
6.958,7.5,9.6,8.4,4.0,6.2,1,6.236857142857143
6.833,7.5,9.6,8.7,4.0,3.5,0,5.733285714285714
5.125,7.5,0.0,6.1,4.0,4.3,1,4.003571428571429
6.542,7.5,6.7,5.8,4.0,7.8,0,5.477428571428571
5.583,7.5,7.9,8.5,4.0,7.0,0,5.783285714285715
7.292,7.5,7.9,8.5,4.0,7.1,1,6.184571428571429
6.125,7.5,6.3,7.3,4.0,4.0,1,5.175
6.375,7.5,8.8,6.9,4.0,3.5,1,5.439285714285715
7.833,7.5,0.0,8.1,4.0,6.5,0,4.847571428571428
6.0,7.5,9.6,8.5,4.0,5.2,1,5.971428571428572
4.917,7.5,7.1,4.6,4.0,6.2,1,5.045285714285714
5.583,7.5,0.0,4.6,4.0,3.1,0,3.5404285714285715
4.875,7.5,9.6,4.3,4.0,2.6,0,4.696428571428571
5.708,7.5,8.3,5.3,4.0,5.0,1,5.258285714285715
6.208,7.5,7.5,6.1,4.0,6.8,1,5.586857142857142
5.833,7.5,9.2,6.4,4.0,3.3,0,5.176142857142857
6.417,7.5,7.5,6.7,4.0,4.8,1,5.416714285714286
8.5,7.5,10.0,9.4,4.0,6.9,0,6.614285714285714
6.75,7.5,7.9,5.1,4.0,5.7,1,5.421428571428572
5.333,7.5,8.8,7.4,4.0,3.8,1,5.404714285714285
4.542,7.5,0.0,4.9,4.0,0.0,0,2.9917142857142855
5.5,7.5,7.9,7.4,4.0,3.8,1,5.299999999999999
5.583,5.6,10.0,7.6,4.0,4.3,0,5.297571428571429
6.417,7.5,8.3,7.3,4.0,6.3,1,5.830999999999999
7.208,7.5,9.6,7.5,4.0,3.7,0,5.644
8.417,7.5,10.0,9.0,4.0,7.8,1,6.816714285714285
7.208,5.0,8.8,6.4,4.0,5.1,1,5.3582857142857145
5.958,7.5,0.0,3.7,4.0,3.7,1,3.694
7.042,5.0,7.1,8.1,4.0,4.7,0,5.134571428571428
9.125,7.5,10.0,10.0,4.0,7.7,1,7.046428571428572
8.708,5.6,9.6,9.7,4.0,8.2,0,6.544000000000001
7.875,5.0,7.1,8.7,4.0,6.0,1,5.667857142857143
9.208,6.3,7.5,9.4,4.0,7.8,0,6.315428571428571
9.25,7.5,10.0,9.9,4.0,8.4,1,7.1499999999999995
9.167,7.5,8.3,9.4,4.0,7.6,0,6.566714285714286
7.875,7.5,8.3,8.2,4.0,5.8,0,5.953571428571428
7.292,7.5,9.2,7.6,4.0,5.2,0,5.827428571428571
4.292,5.0,6.7,7.4,4.0,2.9,1,4.470285714285715
7.625,7.5,8.3,8.6,4.0,6.6,0,6.089285714285714
6.625,5.6,10.0,8.1,4.0,6.3,1,5.946428571428571
3.875,7.5,9.2,2.8,4.0,0.9,1,4.182142857142857
3.75,5.0,9.2,3.6,4.0,1.8,1,4.05
6.917,5.6,10.0,7.4,4.0,5.3,1,5.745285714285714
5.542,5.0,7.5,3.8,4.0,1.3,1,4.0202857142857145
6.708,5.0,8.8,8.5,4.0,5.2,0,5.458285714285715
6.708,5.6,0.0,6.4,4.0,3.6,1,3.9011428571428572
6.125,5.6,10.0,7.3,4.0,4.8,0,5.403571428571429
4.625,7.5,8.8,2.9,4.0,0.9,1,4.246428571428571
6.458,7.5,10.0,8.2,4.0,5.0,0,5.879714285714286
7.042,5.6,8.8,7.2,4.0,5.8,1,5.6345714285714275
5.625,5.6,0.0,5.8,4.0,3.4,1,3.6321428571428567
4.417,7.5,5.8,5.6,4.0,3.7,1,4.573857142857142
6.625,5.6,10.0,9.2,4.0,5.8,1,6.032142857142857
7.917,7.5,8.3,7.7,4.0,6.9,0,6.045285714285714
6.583,5.6,7.5,5.8,4.0,6.0,1,5.211857142857143
6.292,5.0,10.0,7.4,4.0,3.3,1,5.284571428571428
7.208,6.3,9.2,6.7,4.0,5.7,1,5.729714285714286
7.25,6.3,9.2,8.6,4.0,8.9,0,6.321428571428571
8.125,6.9,8.3,8.4,4.0,7.9,0,6.232142857142857
6.958,5.6,9.2,8.5,4.0,7.1,1,6.051142857142857
6.417,7.5,9.2,5.7,4.0,5.1,1,5.559571428571428
5.833,7.5,9.2,5.3,4.0,3.0,1,5.119
7.0,7.5,7.9,8.3,4.0,8.1,0,6.114285714285715
6.667,7.5,9.6,6.9,4.0,4.6,1,5.752428571428572
5.125,5.6,7.1,5.7,4.0,4.3,1,4.689285714285715
7.208,7.5,7.1,8.8,4.0,7.4,1,6.144
7.417,5.6,8.8,9.2,4.0,6.0,0,5.859571428571428
8.208,6.3,9.2,9.9,4.0,9.1,0,6.672571428571429
7.333,7.5,7.5,9.2,4.0,7.1,0,6.090428571428572
5.625,7.5,6.7,6.9,4.0,5.9,0,5.232142857142857
5.625,7.5,8.8,6.8,4.0,4.0,0,5.246428571428572
6.625,7.5,9.6,8.8,4.0,5.6,1,6.1607142857142865
5.958,5.6,6.7,5.1,4.0,3.8,0,4.451142857142857
5.75,7.5,9.2,4.1,4.0,2.8,1,4.907142857142857
5.625,6.3,7.1,5.8,4.0,3.0,1,4.689285714285715
4.292,5.0,7.9,3.4,4.0,1.1,1,3.813142857142857
6.833,6.3,0.0,5.6,4.0,0.0,1,3.390428571428571
7.25,6.3,0.0,7.8,4.0,6.8,1,4.735714285714286
6.042,6.3,10.0,3.9,4.0,1.7,1,4.705999999999999
7.792,6.9,8.3,8.2,4.0,8.0,0,6.170285714285714
6.292,7.5,7.9,3.7,4.0,1.8,1,4.598857142857143
3.333,7.5,8.8,2.9,4.0,2.3,0,4.119000000000001
5.917,7.5,9.6,5.8,4.0,0.0,1,4.831
7.375,7.5,7.9,8.0,4.0,6.9,1,6.096428571428571
3.833,7.5,8.8,3.6,4.0,2.8,1,4.504714285714287
7.417,6.3,7.1,7.9,4.0,6.6,0,5.616714285714286
5.417,5.6,9.2,6.3,4.0,5.2,0,5.102428571428571
6.708,5.0,7.1,8.2,4.0,6.8,0,5.401142857142857
5.875,6.3,5.4,6.9,4.0,3.1,1,4.653571428571429
6.042,5.6,8.8,5.8,4.0,6.3,0,5.220285714285715
6.208,6.9,9.2,7.7,4.0,4.8,1,5.686857142857142
5.375,7.5,7.5,7.2,4.0,3.9,1,5.210714285714286
5.542,7.5,8.8,7.7,4.0,4.3,1,5.548857142857143
5.208,7.5,7.9,6.6,4.0,4.8,1,5.2868571428571425
5.958,7.5,8.3,6.8,4.0,5.2,1,5.536857142857144
4.708,7.5,5.4,4.5,4.0,2.5,1,4.2297142857142855
6.167,6.9,7.9,7.4,4.0,5.0,0,5.338142857142857
5.083,7.5,9.2,5.2,4.0,6.5,1,5.497571428571429
6.0,7.5,7.9,7.5,4.0,4.5,1,5.485714285714286
6.222,5.0,7.9,5.6,3.0,5.2,1,4.846000000000001
6.167,7.5,9.6,8.1,3.0,5.2,0,5.652428571428572
5.889,5.0,7.5,7.0,3.0,4.1,1,4.784142857142856
6.0,5.0,5.4,5.4,3.0,5.3,0,4.3
5.056,7.5,6.7,5.1,3.0,3.0,0,4.336571428571429
8.389,6.9,10.0,10.0,3.0,6.1,1,6.484142857142857
5.944,7.5,8.8,5.6,3.0,6.8,0,5.377714285714285
6.111,6.9,8.3,6.9,3.0,5.8,1,5.430142857142856
7.5,7.5,9.2,7.7,3.0,5.2,0,5.728571428571429
8.667,6.9,8.8,10.0,3.0,6.4,1,6.3952857142857145
8.278,5.6,9.2,9.1,3.0,5.2,0,5.768285714285715
6.778,5.0,7.1,8.1,3.0,4.7,0,4.954000000000001
6.611,7.5,9.2,7.3,3.0,3.4,0,5.287285714285715
8.611,6.9,10.0,9.3,3.0,6.8,0,6.373
8.444,7.5,9.5,6.8,3.0,6.0,0,5.892
8.944,5.0,10.0,9.7,3.0,9.0,1,6.663428571428573
7.333,7.5,8.5,8.8,3.0,2.8,0,5.418999999999999
7.5,7.5,10.0,7.0,3.0,5.3,1,5.8999999999999995
5.778,4.4,7.4,6.9,3.0,5.0,0,4.639714285714286
7.056,7.5,9.5,8.8,3.0,2.5,1,5.622285714285715
6.944,7.5,9.0,8.7,3.0,3.7,1,5.692
8.5,8.1,9.5,9.0,3.0,7.5,1,6.6571428571428575
6.722,3.8,8.0,5.8,3.0,2.9,1,4.460285714285714
8.722,4.4,6.9,9.2,3.0,8.0,0,5.7459999999999996
6.833,7.5,9.5,9.4,3.0,7.4,0,6.233285714285714
7.889,4.4,9.5,8.5,3.0,5.1,1,5.627000000000001
7.611,7.5,10.0,9.3,3.0,5.8,0,6.173
7.611,7.5,8.5,7.3,3.0,5.8,1,5.815857142857142
8.889,7.5,6.9,9.9,3.0,8.1,0,6.327
7.667,7.5,9.0,8.2,3.0,6.5,0,5.981000000000001
7.5,7.5,8.0,7.7,3.0,5.8,1,5.785714285714286
7.5,7.5,9.0,6.7,3.0,6.6,1,5.9
7.167,7.5,9.5,7.4,3.0,5.9,1,5.923857142857143
7.5,7.5,8.5,8.3,3.0,4.5,0,5.614285714285714
6.667,5.6,9.5,5.4,3.0,3.6,1,4.9667142857142865
7.889,7.5,10.0,9.1,3.0,7.0,0,6.355571428571428
8.0,5.6,9.0,10.0,3.0,8.5,1,6.442857142857143
5.833,7.5,9.0,8.7,3.0,1.8,1,5.261857142857143
3.944,7.5,9.5,7.7,3.0,3.7,1,5.192
8.611,7.5,10.0,8.8,3.0,6.5,0,6.344428571428572
8.111,7.5,9.0,7.2,3.0,4.0,1,5.687285714285714
8.389,5.6,9.0,8.1,3.0,7.0,0,5.869857142857143
8.444,7.5,7.0,10.0,3.0,7.5,0,6.206285714285714
7.333,7.5,8.5,4.3,3.0,4.5,1,5.1618571428571425
6.056,7.5,5.8,5.0,3.0,4.5,1,4.693714285714286
8.278,5.0,10.0,8.4,3.0,4.6,1,5.754
7.778,7.5,8.0,9.6,3.0,8.5,1,6.482571428571428
7.556,7.5,7.5,6.5,3.0,0.0,1,4.7222857142857135
7.5,7.5,9.0,7.0,3.0,4.6,1,5.6571428571428575
7.5,7.5,9.5,8.5,3.0,5.2,1,6.028571428571429
6.778,6.3,7.9,9.2,3.0,5.0,1,5.596857142857142
7.5,7.5,8.5,7.9,3.0,7.9,1,6.185714285714285
7.056,6.9,10.0,10.0,3.0,2.0,1,5.708
8.167,7.5,9.5,10.0,3.0,8.8,0,6.7095714285714285
7.833,5.0,8.0,10.0,3.0,7.8,0,5.947571428571428
6.833,7.5,9.5,9.4,3.0,5.5,1,6.1047142857142855
7.5,6.3,8.5,7.4,3.0,6.7,1,5.771428571428572
7.5,5.0,8.0,7.9,3.0,7.3,1,5.671428571428571
6.889,7.5,9.0,6.9,3.0,4.8,0,5.441285714285714
7.611,5.0,8.5,8.2,3.0,7.2,1,5.787285714285715
7.667,6.9,9.5,8.0,3.0,8.4,0,6.2095714285714285
7.389,6.9,8.5,5.5,3.0,7.8,0,5.584142857142857
6.944,5.0,6.4,9.5,3.0,7.3,0,5.449142857142857
7.944,7.5,9.0,9.8,3.0,6.9,1,6.449142857142857
7.667,7.5,9.0,9.5,3.0,5.4,0,6.009571428571428
7.5,7.5,9.0,9.0,3.0,4.3,1,5.8999999999999995
6.833,5.6,9.0,7.7,3.0,6.2,1,5.619
7.889,5.6,9.0,6.8,3.0,8.1,1,5.912714285714286
6.778,7.5,8.5,8.1,3.0,5.0,1,5.696857142857143
4.833,5.0,7.9,4.4,3.0,2.5,1,4.090428571428572
6.944,6.9,9.0,8.3,3.0,3.3,1,5.492
7.333,6.3,9.0,7.7,3.0,5.4,1,5.676142857142857
7.778,7.5,9.0,9.6,3.0,8.1,0,6.425428571428571
8.0,6.3,9.0,8.4,3.0,8.1,1,6.257142857142858
6.5,5.0,7.4,7.5,3.0,4.9,1,5.042857142857143
7.222,5.6,10.0,5.9,3.0,4.0,1,5.246
6.833,7.5,7.0,8.2,3.0,3.7,1,5.319000000000001
7.722,5.6,7.9,8.5,3.0,4.5,1,5.460285714285715
7.556,7.5,8.0,8.9,3.0,3.5,0,5.493714285714286
7.722,6.3,7.4,8.8,3.0,4.7,1,5.5602857142857145
8.056,7.5,10.0,8.1,3.0,5.1,1,6.108
6.778,5.6,9.5,8.8,3.0,4.8,1,5.639714285714285
6.778,5.0,10.0,5.4,3.0,4.6,1,5.111142857142857
8.444,7.5,9.5,8.6,3.0,5.9,0,6.134857142857143
8.333,7.5,9.0,8.9,3.0,4.9,0,5.947571428571428
6.556,6.3,9.0,8.0,3.0,5.6,1,5.636571428571429
7.167,6.9,9.0,5.7,3.0,2.8,1,5.081
7.5,7.5,9.0,9.3,3.0,5.5,0,5.971428571428571
7.5,5.6,6.8,9.3,3.0,4.3,1,5.357142857142857
7.444,5.0,9.0,8.5,3.0,1.7,1,5.0920000000000005
6.722,7.5,6.9,9.6,3.0,4.3,1,5.574571428571429
7.222,5.0,9.0,3.7,3.0,3.0,1,4.5602857142857145
7.5,7.5,9.5,9.3,3.0,6.3,1,6.299999999999999
6.944,7.5,9.0,7.3,3.0,5.3,1,5.720571428571428
6.0,5.0,9.5,6.2,3.0,3.3,1,4.857142857142857
7.333,7.5,9.5,9.5,3.0,6.6,1,6.347571428571428
7.056,7.5,8.5,9.3,3.0,6.0,1,6.050857142857143
7.333,7.5,8.0,9.7,3.0,3.3,1,5.690428571428571
7.5,7.5,7.9,9.7,3.0,7.8,0,6.199999999999998
7.444,6.3,7.4,6.5,3.0,2.0,1,4.806285714285714
7.833,7.5,6.4,8.6,3.0,7.1,1,5.919
7.778,7.5,8.5,9.0,3.0,7.3,1,6.296857142857142
7.056,5.6,6.4,8.7,3.0,4.7,1,5.207999999999999
